micrograph_no,brief_description,keywords,categories,system,composition,standard_codes,reaction,processing,applications,sample_preparation,technique,length_bar,further_information,contributor,organisation,image_url,image_local_path,page_url
159,Roll-bonded aluminium alloy diffusion couple in the as-rolled condition.,"alloy , aluminium , diffusion couple , metal, roll-bonding",Metal or alloy,Al-Fe-Mn/Al-Si,"Al, Fe 0.5, Mn 1.0 / Al, Si 1.0 (wt%)",,,Mechanical roll-bonding; reduction in thickness of about 90%.,The couple was made to investigate diffusion of silicon through the Al-0.5Fe-1.0Mn (wt.%) alloy during annealing.,Electrolytically etched using Barker's reagent.,Cross-polarised light microscopy,2 mm,"This micrograph shows the grain structure of a roll-bonded aluminium alloy diffusion couple in the as-rolled condition. The upper half of the couple is Al-0.5Fe-1.0Mn (wt.%), the lower half is Al-1.0Si (wt.%). Rolling heavily deforms the microstructure, producing thin, elongated grains parallel to the roll-bonded interface.

The Barker's etch produces a thick oxide layer on the grains of aluminium (anodising). When viewed in cross-polarised light, interference in the oxide layer produces colours which depend on grain orientation, hence the grain structure is imaged. Prior to roll-bonding the Al-Si alloy was solution-treated, creating recrystallized grains that were much larger than the cellular microstructure of the Al-Fe-Mn alloy. This difference in scale of microstructure can be seen in the rolled diffusion couple.",D T L Alexander,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000159.jpg,./miclib_output/images/000159.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=159
160,"Glass ceramic, heat treated at 750° C for 3 hours","ceramic , glass",Ceramic,LAS: Li2O-Al2O3-SiO2,Not specified,,,Heat treated at 750°C for 3 hours,"LAS glass ceramics are principally used for domestic cooker hobs and cookware. LAS and other glass ceramics can also be used for microwave radomes, vacuum and laser envelopes, telescope mirrors, and in bioceramic applications.",Thin section,"Transmitted polarised light microscopy, with sensitive tint plate",100 μm,"Glass ceramics are materials that are cooled from the melt in the form of a glass, and then heat treated to induce controlled crystallisation of the glass. Heterogeneous nucleation is carried out at a temperature to maximise the nucleation rate (common nucleating agents include TiO2 and ZrO2), and the temperature is then raised sufficiently to cause the nuclei formed to grow rapidly.

Glass ceramics are strong, reasonably tough, transparent to IR radiation, have a low coefficient of thermal expansion, a high resistance to thermal shock and a low thermal conductivity, which makes them very useful in domestic applications such as cookware and cooker hobs.

The most common glass ceramic system is LAS (Li2O-Al2O3-SiO2), but others include MgO-Al2O3-SiO2, Na2O-BaO-Al2O3-SiO2, and Li2O-MgO-Al2O3-SiO2.",Dr K M Knowles,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000160.jpg,./miclib_output/images/000160.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=160
161,"Glass ceramic, heat treated at 750°C for 3 hours","ceramic , glass",Ceramic,LAS: Li2O-Al2O3-SiO2,Not specified,,,Heat treated at 750°C for 3 hours,"LAS glass ceramics are principally used for domestic cooker hobs and cookware. LAS and other glass ceramics can also be used for microwave radomes, vacuum and laser envelopes, telescope mirrors, and in bioceramic applications.",Thin section,Transmitted polarised light microscopy,100 μm,"Glass ceramics are materials that are cooled from the melt in the form of a glass, and then heat treated to induce controlled crystallisation of the glass. Heterogeneous nucleation is carried out at a temperature to maximise the nucleation rate (common nucleating agents include TiO2 and ZrO2), and the temperature is then raised sufficiently to cause the nuclei formed to grow rapidly.

Glass ceramics are strong, reasonably tough, transparent to IR radiation, have a low coefficient of thermal expansion, a high resistance to thermal shock and a low thermal conductivity, which makes them very useful in domestic applications such as cookware and cooker hobs.

The most common glass ceramic system is LAS (Li2O-Al2O3-SiO2), but others include MgO-Al2O3-SiO2, Na2O-BaO-Al2O3-SiO2, and Li2O-MgO-Al2O3-SiO2.",Dr K M Knowles,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000161.jpg,./miclib_output/images/000161.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=161
162,"Glass ceramic, heat treated at 840°C for 3 hours","ceramic , glass",Ceramic,LAS: Li2O-Al2O3-SiO2,Not specified,,,Heat treated at 840°C for 3 hours,"LAS glass ceramics are principally used for domestic cooker hobs and cookware. LAS and other glass ceramics can also be used for microwave radomes, vacuum and laser envelopes, telescope mirrors, and in bioceramic applications.",Thin section,"Transmitted polarised light microscopy, with sensitive tint plate",100 μm,"Glass ceramics are materials that are cooled from the melt in the form of a glass, and then heat treated to induce controlled crystallisation of the glass. Heterogeneous nucleation is carried out at a temperature to maximise the nucleation rate (common nucleating agents include TiO2 and ZrO2), and the temperature is then raised sufficiently to cause the nuclei formed to grow rapidly.

Glass ceramics are strong, reasonably tough, transparent to IR radiation, have a low coefficient of thermal expansion, a high resistance to thermal shock and a low thermal conductivity, which makes them very useful in domestic applications such as cookware and cooker hobs.

The most common glass ceramic system is LAS (Li2O-Al2O3-SiO2), but others include MgO-Al2O3-SiO2, Na2O-BaO-Al2O3-SiO2, and Li2O-MgO-Al2O3-SiO2.",Dr K M Knowles,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000162.jpg,./miclib_output/images/000162.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=162
163,"Glass ceramic, heat treated at 840°C for 3 hours","ceramic , glass",Ceramic,LAS: Li2O-Al2O3-SiO2,Not specified,,,Heat treated at 840°C for 3 hours,"LAS glass ceramics are principally used for domestic cooker hobs and cookware. LAS and other glass ceramics can also be used for microwave radomes, vacuum and laser envelopes, telescope mirrors, and in bioceramic applications.",Thin section,Transmitted polarised light microscopy,100 μm,"Glass ceramics are materials that are cooled from the melt in the form of a glass, and then heat treated to induce controlled crystallisation of the glass. Heterogeneous nucleation is carried out at a temperature to maximise the nucleation rate (common nucleating agents include TiO2 and ZrO2), and the temperature is then raised sufficiently to cause the nuclei formed to grow rapidly.

Glass ceramics are strong, reasonably tough, transparent to IR radiation, have a low coefficient of thermal expansion, a high resistance to thermal shock and a low thermal conductivity, which makes them very useful in domestic applications such as cookware and cooker hobs.

The most common glass ceramic system is LAS (Li2O-Al2O3-SiO2), but others include MgO-Al2O3-SiO2, Na2O-BaO-Al2O3-SiO2, and Li2O-MgO-Al2O3-SiO2.",Dr K M Knowles,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000163.jpg,./miclib_output/images/000163.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=163
164,"Glass ceramic, heat treated at 900°C for 3 hours","ceramic , glass",Ceramic,LAS: Li2O-Al2O3-SiO2,Not specified,,,Heat treated at 900°C for 3 hours,"LAS glass ceramics are principally used for domestic cooker hobs and cookware. LAS and other glass ceramics can also be used for microwave radomes, vacuum and laser envelopes, telescope mirrors, and in bioceramic applications.",Thin section,"Transmitted polarised light microscopy, with sensitive tint plate",100 μm,"Glass ceramics are materials that are cooled from the melt in the form of a glass, and then heat treated to induce controlled crystallisation of the glass. Heterogeneous nucleation is carried out at a temperature to maximise the nucleation rate (common nucleating agents include TiO2 and ZrO2), and the temperature is then raised sufficiently to cause the nuclei formed to grow rapidly.

Glass ceramics are strong, reasonably tough, transparent to IR radiation, have a low coefficient of thermal expansion, a high resistance to thermal shock and a low thermal conductivity, which makes them very useful in domestic applications such as cookware and cooker hobs.

The most common glass ceramic system is LAS (Li2O-Al2O3-SiO2), but others include MgO-Al2O3-SiO2, Na2O-BaO-Al2O3-SiO2, and Li2O-MgO-Al2O3-SiO2.",Dr K M Knowles,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000164.jpg,./miclib_output/images/000164.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=164
165,"Glass ceramic, heat treated at 900°C for 3 hours","ceramic , glass",Ceramic,LAS: Li2O-Al2O3-SiO2,Not specified,,,Heat treated at 900°C for 3 hours,"LAS glass ceramics are principally used for domestic cooker hobs and cookware. LAS and other glass ceramics can also be used for microwave radomes, vacuum and laser envelopes, telescope mirrors, and in bioceramic applications.",Thin section,Transmitted polarised light microscopy,100 μm,"Glass ceramics are materials that are cooled from the melt in the form of a glass, and then heat treated to induce controlled crystallisation of the glass. Heterogeneous nucleation is carried out at a temperature to maximise the nucleation rate (common nucleating agents include TiO2 and ZrO2), and the temperature is then raised sufficiently to cause the nuclei formed to grow rapidly.

Glass ceramics are strong, reasonably tough, transparent to IR radiation, have a low coefficient of thermal expansion, a high resistance to thermal shock and a low thermal conductivity, which makes them very useful in domestic applications such as cookware and cooker hobs.

The most common glass ceramic system is LAS (Li2O-Al2O3-SiO2), but others include MgO-Al2O3-SiO2, Na2O-BaO-Al2O3-SiO2, and Li2O-MgO-Al2O3-SiO2.",Dr K M Knowles,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000165.jpg,./miclib_output/images/000165.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=165
166,Carbon-carbon composite,"carbon, composite material",Composite,CCcomposite,Not specified,,,,,Polished but unetched,Reflected light microscopy,250 μm,,Dr K M Knowles,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000166.jpg,./miclib_output/images/000166.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=166
167,Carbon-carbon composite,"carbon, composite material",Composite,CCcomposite,Not specified,,,,,Polished but unetched,Reflected light microscopy,100 μm,,Dr K M Knowles,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000167.jpg,./miclib_output/images/000167.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=167
168,Carbon-carbon composite,"carbon, composite material",Composite,CCcomposite,Not specified,,,,,Polished but unetched,Reflected light microscopy,250 μm,,Dr K M Knowles,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000168.jpg,./miclib_output/images/000168.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=168
169,Carbon-carbon composite,"carbon, composite material",Composite,CCcomposite,Not specified,,,,,Polished but unetched,Reflected light microscopy,40 μm,,Dr K M Knowles,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000169.jpg,./miclib_output/images/000169.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=169
170,ZnO varistor,"ceramic , oxygen , varistor, zinc",Ceramic,ZnO,ZnO containing small amounts of oxides such as Sb2O3 and Bi2O3,,,Produced using liquid phase sintering: gives rise to a structure consisting of conductive ZnO grains with the additional oxides being preferentially located at grain boundaries.,"Used to short-circuit transient high voltage spikes in electronic devices. Incorporated into circuits, in parallel with the device to be protected. Acts as an insulator below a certain breakdown voltage, but as a conductor at higher voltages, due to highly non-linear I-V relationship.",Thin section,"Transmitted polarised light microscopy, with sensitive tint plate",100 μm,,Dr K M Knowles,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000170.jpg,./miclib_output/images/000170.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=170
171,ZnO varistor,"ceramic , oxygen , varistor, zinc",Ceramic,ZnO,ZnO containing small amounts of oxides such as Sb2O3 and Bi2O3,,,Produced using liquid phase sintering: gives rise to a structure consisting of conductive ZnO grains with the additional oxides being preferentially located at grain boundaries.,"Used to short-circuit transient high voltage spikes in electronic devices. Incorporated into circuits, in parallel with the device to be protected. Acts as an insulator below a certain breakdown voltage, but as a conductor at higher voltages, due to highly non-linear I-V relationship.",Thin section,"Transmitted polarised light microscopy, with sensitive tint plate",250 μm,,Dr K M Knowles,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000171.jpg,./miclib_output/images/000171.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=171
172,Bone china (with sensitive tint plate),"alumina , bone , ceramic , hydroxyapatite , silica",Ceramic,Bone china,"China clay 25, stone 30, bone 45 (wt% typical)",,,"Made from china clay, bone which has been calcined to around 1000ÂºC, and stone, which undergo a complex series of reactions on firing to produce a new assemblage of crystals in a glassy matrix.",Crockery,Thin section,"Transmitted polarised light microscopy, with sensitive tint plate",100 μm,"China clay consists mainly of SiO2 and Al2O3, and is valued for its whiteness (which is due to the low iron oxide content). Bone consists mainly of hydroxyapatite, Ca5(PO4)3OH, and the source supply is mainly ox bone.",Dr K M Knowles,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000172.jpg,./miclib_output/images/000172.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=172
173,"Bone china, showing the glaze on the surface (with sensitive tint plate)","alumina , bone , ceramic , hydroxyapatite , silica",Ceramic,Bone china,"China clay 25, stone 30, bone 45 (wt% typical)",,,"Made from china clay, bone which has been calcined to around 1000ÂºC, and stone, which undergo a complex series of reactions on firing to produce a new assemblage of crystals in a glassy matrix.",Crockery,Thin section,"Transmitted polarised light microscopy, with sensitive tint plate",250 μm,"China clay consists mainly of SiO2 and Al2O3, and is valued for its whiteness (which is due to the low iron oxide content). Bone consists mainly of hydroxyapatite, Ca5(PO4)3OH, and the source supply is mainly ox bone. The glaze is mostly SiO2, and is applied to render the surface impermeable to liquids and gases, to provide a readily cleanable surface which protects the china, and to provide an aesthetically pleasing coating.",Dr K M Knowles,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000173.jpg,./miclib_output/images/000173.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=173
174,Bone china (with sensitive tint plate),"alumina , bone , ceramic , hydroxyapatite , silica",Ceramic,Bone china,"China clay 25, stone 30, bone 45 (wt% typical)",,,"Made from china clay, bone which has been calcined to around 1000ÂºC, and stone, which undergo a complex series of reactions on firing to produce a new assemblage of crystals in a glassy matrix.",Crockery,Thin section,"Transmitted polarised light microscopy, with sensitive tint plate",250 μm,"China clay consists mainly of SiO2 and Al2O3, and is valued for its whiteness (which is due to the low iron oxide content). Bone consists mainly of hydroxyapatite, Ca5(PO4)3OH, and the source supply is mainly ox bone.",Dr K M Knowles,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000174.jpg,./miclib_output/images/000174.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=174
175,Concrete from a commercial paving slab,"aggregate, cement , ceramic , concrete , water","Ceramic, Composite",Concrete,"Aggregate, cement, water",,,"Made from aggregates (sand, crushed rock or gravel), bound by cement and water. Cement consists of crystalline minerals of calcium aluminates and silicates, held together by a silicate gel produced during a hydration reaction.","Many uses in the construction industry, such as buildings and bridges and paving slabs.",Polished but unetched,Reflected light microscopy,100 μm,"Concrete is 8 times stronger in compression than tension, so is usually designed for compressive rather than tensile loading. Tensile strength can be increased by pre-stressing the concrete using steel wires that are held in tension during setting. When the stress on the wires is removed, they contract forcing the concrete into compression. When the concrete is then subjected to a tensile stress, the internal compressive stress has to be exceeded before the concrete goes into tension",Dr K M Knowles,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000175.jpg,./miclib_output/images/000175.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=175
176,Concrete from a commercial paving slab,"aggregate, cement , ceramic , concrete , water","Ceramic, Composite",Concrete,"Aggregate, cement, water",,,"Made from aggregates (sand, crushed rock or gravel), bound by cement and water. Cement consists of crystalline minerals of calcium aluminates and silicates, held together by a silicate gel produced during a hydration reaction.","Many uses in the construction industry, such as buildings and bridges and paving slabs.",Polished but unetched,Reflected light microscopy,250 μm,"Concrete is 8 times stronger in compression than tension, so is usually designed for compressive rather than tensile loading. Tensile strength can be increased by pre-stressing the concrete using steel wires that are held in tension during setting. When the stress on the wires is removed, they contract forcing the concrete into compression. When the concrete is then subjected to a tensile stress, the internal compressive stress has to be exceeded before the concrete goes into tension",Dr K M Knowles,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000176.jpg,./miclib_output/images/000176.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=176
177,Terracotta pottery,"ceramic , clay, grog, terracotta",Ceramic,Terracotta,Terracotta is composed of mixtures of fired grog and clay.,,,,"Flowerpots, roof tiles, ornaments and sculptures, and other outdoor uses.",Polished but unetched,Reflected light microscopy,200 μm,"Terracotta can be made in large shapes due to the fact that a large part of the raw materials has been prefired, so firing shrinkage is low. The characteristic red colour is due to the presence of iron (II) oxide.",Dr K M Knowles,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000177.jpg,./miclib_output/images/000177.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=177
178,"Terracotta pottery, showing the glaze on the surface","ceramic , clay, glaze, grog, SiO2, terracotta",Ceramic,Terracotta,Terracotta is composed of mixtures of fired grog and clay.,,,,"Flowerpots, roof tiles, ornaments and sculptures, and other outdoor uses.",Polished but unetched,Reflected light microscopy,100 μm,"Terracotta can be made in large shapes due to the fact that a large part of the raw materials has been prefired, so firing shrinkage is low. The characteristic red colour is due to the presence of iron (II) oxide. The glaze is mostly SiO2, and is applied to render the surface impermeable to liquids and gases, and to provide a readily cleanable surface which protects the terracotta.",Dr K M Knowles,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000178.jpg,./miclib_output/images/000178.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=178
179,"Terracotta pottery, showing the glaze on the surface","ceramic , clay, glaze, grog, SiO2, terracotta",Ceramic,Terracotta,Terracotta is composed of mixtures of fired grog and clay.,,,,"Flowerpots, roof tiles, ornaments and sculptures, and other outdoor uses.",Polished but unetched,Reflected light microscopy,250 μm,"Terracotta can be made in large shapes due to the fact that a large part of the raw materials has been prefired, so firing shrinkage is low. The characteristic red colour is due to the presence of iron (II) oxide. The glaze is mostly SiO2, and is applied to render the surface impermeable to liquids and gases, and to provide a readily cleanable surface which protects the terracotta.",Dr K M Knowles,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000179.jpg,./miclib_output/images/000179.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=179
180,"Oven-to-tableware showing the glaze on the surface, using a sensitive tint plate",ceramic,Ceramic,Miscellaneous,Not specified,,,,,Thin section,"Transmitted polarised light microscopy, with sensitive tint plate",200 μm,"Oven-to-tableware ceramics have a low coefficient of thermal expansion, and therefore a high resistance to thermal shock, which makes them suitable for use at a wide range of temperatures.",Dr K M Knowles,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000180.jpg,./miclib_output/images/000180.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=180
181,Oven-to-tableware,ceramic,Ceramic,Miscellaneous,Not specified,,,,,Thin section,"Transmitted polarised light microscopy, with sensitive tint plate",100 μm,"Oven-to-tableware ceramics have a low coefficient of thermal expansion, and therefore a high resistance to thermal shock, which makes them suitable for use at a wide range of temperatures.",Dr K M Knowles,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000181.jpg,./miclib_output/images/000181.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=181
182,Oven-to-tableware,ceramic,Ceramic,Miscellaneous,Not specified,,,,,Thin section,Transmitted polarised light microscopy,100 μm,"Oven-to-tableware ceramics have a low coefficient of thermal expansion, and therefore a high resistance to thermal shock, which makes them suitable for use at a wide range of temperatures.",Dr K M Knowles,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000182.jpg,./miclib_output/images/000182.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=182
183,Oven-to-tableware,ceramic,Ceramic,Miscellaneous,Not specified,,,,,Thin section,Transmitted polarised light microscopy,250 μm,"Oven-to-tableware ceramics have a low coefficient of thermal expansion, and therefore a high resistance to thermal shock, which makes them suitable for use at a wide range of temperatures.",Dr K M Knowles,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000183.jpg,./miclib_output/images/000183.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=183
184,Oven-to-tableware,ceramic,Ceramic,Miscellaneous,Not specified,,,,,Thin section,Transmitted polarised light microscopy,250 μm,"Oven-to-tableware ceramics have a low coefficient of thermal expansion, and therefore a high resistance to thermal shock, which makes them suitable for use at a wide range of temperatures.",Dr K M Knowles,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000184.jpg,./miclib_output/images/000184.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=184
185,Silicon Nitride-bonded Silicon Carbide,"ceramic , silicon carbide, silicon nitride",Ceramic,Silicon nitride-bonded silicon carbide,Particles of SiC in a reaction-bonded Si3N4 matrix,,,"SiC grit mixed with Si powder (and binders) is cast/pressed/injection moulded, and then fired in a nitrous atmosphere at about 1400ÂºC for several hours to allow the Si to react, forming a reaction-bonded Si3N4 skeleton, which holds the carbide particles.","Immersion tube heaters, bricks (for use in furnaces, kilns etc), cast refractories.",Polished but unetched,Reflected light microscopy,250 μm,"Silicon Nitride bonded Silicon Carbide is characterized by excellent wear properties, good resistance to high temperatures, good impact resistance, an ability to be easily cast, and good corrosion resistance.",Dr K M Knowles,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000185.jpg,./miclib_output/images/000185.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=185
186,Silicon Carbide from within a Silicon Nitride-bonded Silicon Carbide sample,"ceramic , silicon carbide, silicon nitride",Ceramic,Silicon nitride-bonded silicon carbide,Particles of SiC in a reaction-bonded Si3N4 matrix,,,"SiC grit mixed with Si powder (and binders) is cast/pressed/injection moulded, and then fired in a nitrous atmosphere at about 1400ÂºC for several hours to allow the Si to react, forming a reaction-bonded Si3N4 skeleton, which holds the carbide particles.","Immersion tube heaters, bricks (for use in furnaces, kilns etc), cast refractories.",Polished but unetched,Reflected light microscopy,25 μm,"Silicon Nitride bonded Silicon Carbide is characterized by excellent wear properties, good resistance to high temperatures, good impact resistance, an ability to be easily cast, and good corrosion resistance.",Dr K M Knowles,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000186.jpg,./miclib_output/images/000186.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=186
187,"Part of a Denby pottery mug, showing the glaze on the surface","ceramic , clay, glaze, pottery, vitrification",Ceramic,Al2O3-SiO2,Mostly clay (which consists of alumina and silica),,,"Firing, which causes vitrification of the clay",Crockery,Polished but unetched,Reflected light microscopy,200 μm,"On firing, water trapped within the clay evaporates as the temperature rises. Vitrification occurs above about 1000ÂºC, and the clay material fuses into a dense glassy material. Aluminium silicate crystals bond the matrix, increasing the strength, and the object shrinks and becomes more dense. Glaze is then applied, which vitrifies when the object is fired again, and bonds to the surface making it waterproof.",Dr K M Knowles,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000187.jpg,./miclib_output/images/000187.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=187
188,Part of a Denby pottery mug,"ceramic , clay, pottery, vitrification",Ceramic,Al2O3-SiO2,Mostly clay (which consists of alumina and silica),,,"Firing, which causes vitrification of the clay",Crockery,Polished but unetched,Reflected light microscopy,200 μm,"On firing, water trapped within the clay evaporates as the temperature rises. Vitrification occurs above about 1000ÂºC, and the clay material fuses into a dense glassy material. Aluminium silicate crystals bond the matrix, increasing the strength, and the object shrinks and becomes more dense. Glaze is then applied, which vitrifies when the object is fired again, and bonds to the surface making it waterproof.",Dr K M Knowles,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000188.jpg,./miclib_output/images/000188.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=188
189,Titanate ceramic for immobilising radioactive waste,"ceramic , hollandite, loveringite, spinel , titanate, zirconolite",Ceramic,Oxides + simulated fission products,Not specified,,,"Ti, Ca, Ba, Fe, Zr, Cr and Ni oxides + simulated fission products. Hot isostatically pressed at 1300ÂºC to maximise density.",Under development for immobilising high level radioactive waste. Many active species occupy lattice sites in the crystals.,Polished but unetched,Scanning electron microscopy (SEM) in backscattered electron imaging (BEI) mode,30 μm,"An assemblage of 5 mixed oxide phases and at least 2 metals. White phases are metals, either austenites (Fe,Ni,Mo,Ru) or silver. Oxide phases are by contrast: light grey is zirconolite (CaZrTi2O7 with some substituted species); mid grey is hollandite (Ba[Fe,Cr,Ti]8O16) with some Cs on Ba site; dark grey is perovskite loveringite (Ca[Ti,Fe,Cr,Zr]21O38) or spinel ([Fe,Ti,Cr]3O4).",Dr E Maddrell,"BNFL plc, Sellafield",https://www.doitpoms.ac.uk/miclib/micrographs/large/000189.jpg,./miclib_output/images/000189.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=189
190,Aluminous Electrical Porcelain,"ceramic , clay, feldspar , grain and bond, insulator, porcelain, quartz, vitreous",Ceramic,Triaxial (i.e. clay/flux/filler) porcelain,"Ball clay 30 , china clay 10, potash feldspar 20, silica sand 20, calcined alumina 20 (wt%)",,,Fired at approx 1300ÂºC to induce vitrification or substantial melting.,Used for electrical insulators.,Polished and etched 3 min in 5% HF solution.,Scanning electron microscopy (SEM),10 μm,The microstructure of porcelain is surprisingly complex. Quartz silica grains (Q) are beginning to dissolve and show solution rims (R) of glassy material. The alumina particles are not dissolving at this firing temperature. The relicts of the starting clays contain fine primary mullite in glass (P) while feldspar relicts contain elongated secondary mullite needles.,Prof W E Lee,"Department of Engineering Materials, University of Sheffield",https://www.doitpoms.ac.uk/miclib/micrographs/large/000190.gif,./miclib_output/images/000190.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=190
191,"Dolomite (Ca,Mg)(CO3)2","carbonate, ceramic , dolomite, ore",Ceramic,CaCO3-MgCO3,"CaO 57, MgO 41 (wt%), + Fe2O3, SiO2 and Al2O3 (typical)",,,As mined ore with some beneficiation,Used as an additive to control slag basicity in steelmaking and as source of doloma for refractories.,Polished + etch in 5% HF for 30s.,Scanning electron microscopy (SEM) in backscattered electron imaging (BEI) mode,30 μm,The microstructure shows single phase equiaxed dolomite grains. Compare to the micrograph of doloma (ID 192) which shows 2-phases (MgO and CaO) formed after calcinations of the dolomite.,Prof W E Lee,"Department of Engineering Materials, University of Sheffield",https://www.doitpoms.ac.uk/miclib/micrographs/large/000191.gif,./miclib_output/images/000191.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=191
